Rank,Fast,Slow,Trades_Yr,lag0_CAGR,lag1_CAGR,CAGR_Diff_bp,CAGR_Correction_Factor,lag0_Sortino,lag1_Sortino,Sortino_Correction_Factor,lag0_MDD,lag1_MDD
1,3,118,5.44847229414811,0.34350261301855123,0.2254160459165231,1180.8656710202813,1.5238605203187638,1.3714233649342709,0.9360548985362599,1.465109970663912,-0.7256287502059926,-0.8171505538068546
2,3,117,5.44847229414811,0.34774671976974636,0.22328779998769988,1244.5891978204647,1.5573923868160395,1.3851963954226225,0.9291271856977867,1.4908576745414266,-0.7256287502059924,-0.8219032768265111
3,3,116,5.361470740548938,0.35163452391627037,0.22080691765353833,1308.2760626273205,1.5924977697845943,1.398436766612564,0.9206757444025645,1.5189243065375024,-0.7256287502059924,-0.82210175210156
4,3,115,5.3832211289487315,0.3565483852087479,0.22075897218976026,1357.8941301898763,1.6151025784911952,1.4168535884244475,0.9203318861576302,1.5395028790535412,-0.7256287502059926,-0.8183515632542804
5,8,211,2.1206628689798035,0.2336839192218627,0.21291972435573103,207.6419486613168,1.097521236836848,0.971934503418671,0.8623557849008102,1.127069036280037,-0.8894404332550929,-0.9189526414829008
6,4,118,4.491455204557225,0.3259613051430672,0.22197483227453607,1039.8647286853113,1.4684606439522918,1.3132297853242172,0.9206120555398541,1.4264746778208643,-0.7256287502059925,-0.8042734687100166
7,4,117,4.621957534955982,0.3197439413132801,0.22179729252323876,979.4664879004133,1.4416043481675007,1.2934976397315228,0.9208655067227803,1.4046542413504912,-0.7340907420098666,-0.7941341375259524
8,4,115,4.621957534955982,0.3176797413732402,0.21993955515656394,977.4018621667624,1.444395671106545,1.2868637269487893,0.9162560631488406,1.4044804489765712,-0.7340907420098662,-0.8234849583932016
9,4,116,4.68720870015536,0.319877401650152,0.2210881955325037,987.892061176483,1.4468316631727387,1.2935481577164563,0.9193946238284421,1.4069564082613462,-0.7340907420098666,-0.7941341375259525
10,4,114,4.621957534955982,0.3176662147509508,0.21933670338430322,983.2951136664758,1.4483039539185694,1.288705133335348,0.9141392029834495,1.4097471469656246,-0.7379409361995379,-0.8378026904718925
