strategy,CAGR,Sharpe,Sortino,Volatility,MDD,MDD_Entry,Max_Recovery_Days,Trades_Yr
"P5 Optuna (48,323,15,229)",0.3491726162200026,0.7622195420365723,1.0881665033587489,0.5712008291749127,-0.7987010639536839,-0.3923406717773349,2452,1.6989938803028732
"P1 peak (43,125,39,265)",0.3681722575309374,0.7827755706839961,1.1329334460695277,0.5783770263300425,-0.8446924806273647,-0.5494531299415644,1825,1.855824084638523
"P1 robust (46,130,46,259)",0.3490534419535736,0.7570856631119381,1.094061458368862,0.5828344296119686,-0.8446924806273648,-0.5702948333040148,1834,1.6989938803028732
"P2 peak (43,125,13,248)",0.36121506036957296,0.7792995195372691,1.1157542305623576,0.5666295048327427,-0.798701063953684,-0.38675086201147324,1419,2.012654288974173
"P2 robust (46,134,22,252)",0.34793781443562577,0.7604725203971472,1.088741905070714,0.5708944378359386,-0.7987010639536839,-0.42663110670576343,1831,1.7512706150814232
"P3 peak (43,125,22,261)",0.3619324569013431,0.7803362869304651,1.1175188849785558,0.5661836514147222,-0.8211759510381452,-0.3867508620114729,1885,1.960377554195623
"P3 robust (46,131,22,258)",0.3455314312908577,0.7583398969233144,1.084202168028932,0.5680135919758329,-0.8211759510381458,-0.4002540149249626,1891,1.6467171455243232
"P4 peak (44,122,2,303)",0.33998608664785945,0.7554692622019189,1.0768319755247338,0.5540695790365452,-0.798701063953684,-0.3886882295661894,1836,1.960377554195623
"P4 robust (42,123,6,300)",0.315886622921975,0.7213487396998679,1.0264396879199171,0.5607318199062541,-0.7987010639536838,-0.38472466379475934,1831,1.855824084638523
"P5 peak (43,125,30,295)",0.35401150102591616,0.7630637476689671,1.103712313997917,0.5838350747356164,-0.8446924806273648,-0.4967248345318356,1452,2.1694844933098225
"P5 robust (46,134,27,292)",0.34178171189527173,0.7491394595820652,1.076932183797015,0.5803778360834939,-0.844692480627365,-0.4542164190510103,1831,1.855824084638523
"Sym (3,161) baseline",0.23668009787805944,0.6125056254184217,0.8607289155721145,0.5393862570472635,-0.9692586837660164,-0.871595561176768,4964,4.208277149673271
B&H 3x,0.14190823709847278,0.5293221833365408,0.7580252981743159,0.7907136963904864,-0.9997422234330884,-0.9997422234330884,6479,0.0
