window,test_period,fast_buy,slow_buy,fast_sell,slow_sell,train_Sortino,train_CAGR,train_Trades_Yr,test_Sortino,test_CAGR,test_MDD,test_Trades_Yr
0,1997-01-01~1999-12-31,27,78,22,86,1.3452108849276645,0.44849839349252174,4.338721011946592,2.1236221338405827,1.4178371534902015,-0.5662416690019519,3.9947159841479523
1,2000-01-01~2002-12-31,17,350,13,349,1.535408914426995,0.6699722572546711,1.8884263114071607,-0.18771682987328553,-0.33776033699583574,-0.8446924806273648,1.675531914893617
2,2003-01-01~2005-12-31,20,298,20,319,1.1340776630936746,0.40919555236508787,1.2730195177956372,0.5009219148278359,0.0643149320647951,-0.5626449501063868,3.0
3,2006-01-01~2008-12-31,21,288,20,320,1.0708793582169456,0.358434836264643,2.2187438857366466,-0.2444117378080713,-0.12840109935969835,-0.6436669296954118,1.6688741721854305
4,2009-01-01~2011-12-31,18,328,19,327,0.9176434460051816,0.2719558512775293,1.116945107398568,0.9411972716536978,0.2430638457051788,-0.4476172348102374,0.3333333333333333
5,2012-01-01~2014-12-31,19,325,19,326,0.9256623416056874,0.2713114571030002,0.9513742071881607,2.1070425547553344,0.6649100409752784,-0.3272453930394357,0.0
6,2015-01-01~2017-12-31,15,350,17,345,1.0395916129228286,0.326500109804829,1.400759219088937,0.8257572454406723,0.17469201385352306,-0.5209115406138662,2.0026490066225167
7,2018-01-01~2020-12-31,18,350,18,341,0.9998426367555427,0.2999120233720802,1.2706924117574712,1.0037471547670882,0.32725838227933,-0.6994462516430984,1.3333333333333333
8,2021-01-01~2023-12-31,19,323,19,328,0.9973035193153168,0.30300161560217886,0.9924608979408123,0.896746625783637,0.2306489583135214,-0.5607833084777278,1.3386454183266931
9,2024-01-01~2025-12-31,20,324,19,324,0.973674414359831,0.288997530390779,1.0195020746887966,0.6890291479679825,0.20047220786055053,-0.5968785837073771,1.0059880239520957
